RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,Date,ZORI
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-07-2024,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-08-2024,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-09-2024,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-10-2024,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-11-2024,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-12-2024,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-01-2025,1997.794408
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,28-02-2025,1956.992506
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-03-2025,2011.523459
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-04-2025,1996.843478
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-05-2025,2005.829998
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-06-2025,1913.095238
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-01-2015,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,28-02-2015,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-03-2015,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-04-2015,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-05-2015,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-06-2015,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-07-2015,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-08-2015,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-09-2015,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-10-2015,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-11-2015,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-12-2015,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-01-2016,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,29-02-2016,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-03-2016,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-04-2016,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-05-2016,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-06-2016,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-07-2016,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-08-2016,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-09-2016,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-10-2016,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-11-2016,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-12-2016,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-01-2017,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,28-02-2017,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-03-2017,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-04-2017,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-05-2017,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-06-2017,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-07-2017,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-08-2017,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-09-2017,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-10-2017,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-11-2017,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-12-2017,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-01-2018,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,28-02-2018,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-03-2018,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-04-2018,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-05-2018,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-06-2018,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-07-2018,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-08-2018,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-09-2018,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-10-2018,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-11-2018,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-12-2018,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-01-2019,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,28-02-2019,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-03-2019,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-04-2019,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-05-2019,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-06-2019,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-07-2019,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-08-2019,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-09-2019,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-10-2019,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-11-2019,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-12-2019,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-01-2020,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,29-02-2020,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-03-2020,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-04-2020,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-05-2020,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-06-2020,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-07-2020,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-08-2020,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-09-2020,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-10-2020,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,30-11-2020,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-12-2020,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-01-2021,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,28-02-2021,
16704,2388,Albemarle,city,NC,NC,"Albemarle, NC",Stanly County,31-03-2021,
